Movement,orig no,connector,DS SQL data type,Underlying data type,"src/tgt data type (ora.db2,sqlSrvr..)",,Len,P,S,Extended,ds notes,src/tgt notes,notes
ds to oracle,22,oracle,TinyInt,int8,"NUMBER (3, 0)",,,,,,,,
ds to oracle,23,oracle,TinyInt with Extended=Unsigned,uint8,"NUMBER (3, 0)",,,,,,,,
ds to oracle,24,oracle,SmallInt,int16,"NUMBER (5, 0)",,,,,,,,
ds to oracle,25,oracle,SmallInt with Extended=Unsigned,uint16,"NUMBER (5, 0)",,,,,,,,
ds to oracle,26,oracle,Integer,int32,"NUMBER (10, 0)",,,,,,,,
ds to oracle,27,oracle,Integer with Extended=Unsigned,uint32,"NUMBER (10, 0)",,,,,,,,
ds to oracle,28,oracle,BigInt,int64,NUMBER (19),,,,,,,,
ds to oracle,29,oracle,BigInt with Extended=Unsigned,uint64,NUMBER (20),,,,,,,,
ds to oracle,30,oracle,Float Real,sfloat,BINARY_FLOAT,,,,,,,,
ds to oracle,31,oracle,Double,dfloat,BINARY_DOUBLE,,,,,,,,
ds to oracle,32,oracle,Binary with Length undefined,raw,RAW (2000),,,,,,,,
ds to oracle,33,oracle,VarBinary,raw[],RAW (2000),,undefined,,,,,,VarBinary with Length undefined LongVarBinary with Length undefined
ds to oracle,,oracle,LongVarBinary,,,,undefined,,,,,,VarBinary with Length undefined LongVarBinary with Length undefined
ds to oracle,34,oracle,Binary,raw[n],RAW (n),,n,,,,,,Binary with Length=n
ds to oracle,35,oracle,VarBinary,raw[max=n],RAW(n),,n,,,,,,VarBinary with Length=nLongVarBinary with Length=n
ds to oracle,,oracle,LongVarBinary,raw[max=n],RAW(n),,n,,,,,,VarBinary with Length=nLongVarBinary with Length=n
ds to oracle,36,oracle,Char with Extended undefined and Length undefined,string,CHAR (32),,undefined,,,undefined,,,Char with Extended undefined and Length undefined
ds to oracle,37,oracle,Nchar,ustring,NVARCHAR (32),,undefined,,,,,,NChar with Length undefinedChar with Extended=Unicode and Length undefined
ds to oracle,,oracle,Char,ustring,NVARCHAR (32),,undefined,,,unicode,,,NChar with Length undefinedChar with Extended=Unicode and Length undefined
ds to oracle,38,oracle,Char with Extended undefined and Length=n,string[n],CHAR (n),,n,,,undefined,,,Char with Extended undefined and Length=n
ds to oracle,39,oracle,Nchar,ustring[n],NCHAR (n),,n,,,,,,NChar with Length=nChar with Extened=Unicode and Length=n
ds to oracle,,oracle,Char,ustring[n],NCHAR (n),,n,,,unicode,,,NChar with Length=nChar with Extened=Unicode and Length=n
ds to oracle,40,oracle,Bit,uint16,NUMBER (5),,,,,,,,
ds to oracle,41,oracle,Unknown,fixed-length string in the form string[n] and ustring[n]; length <= 255 bytes,NVARCHAR(32),,,,,,,,
ds to oracle,42,oracle,LongVarChar,string[],VARCHAR2 (32),,undefined,,,undefined,,,LongVarChar with Extended undefined and Length undefined VarChar with Extended undefined and Length undefined
ds to oracle,,oracle,VarChar,string[],VARCHAR2 (32),,undefined,,,undefined,,,LongVarChar with Extended undefined and Length undefined VarChar with Extended undefined and Length undefined
ds to oracle,43,oracle,NVarChar,ustring[],NVARCHAR2 (32),,undefined,,,,,,NVarChar with Length undefined LongNVarChar with Length undefinedLongVarChar with Extended=Unicode and Length undefinedVarChar with Extended=Unicode and Length undefined
ds to oracle,,oracle,LongNVarChar,ustring[],NVARCHAR2 (32),,undefined,,,,,,NVarChar with Length undefined LongNVarChar with Length undefinedLongVarChar with Extended=Unicode and Length undefinedVarChar with Extended=Unicode and Length undefined
ds to oracle,,oracle,LongVarChar,ustring[],NVARCHAR2 (32),,undefined,,,unicode,,,NVarChar with Length undefined LongNVarChar with Length undefinedLongVarChar with Extended=Unicode and Length undefinedVarChar with Extended=Unicode and Length undefined
ds to oracle,,oracle,VarChar,ustring[],NVARCHAR2 (32),,undefined,,,unicode,,,NVarChar with Length undefined LongNVarChar with Length undefinedLongVarChar with Extended=Unicode and Length undefinedVarChar with Extended=Unicode and Length undefined
ds to oracle,44,oracle,LongVarChar,string[max=n],VARCHAR2 (n),,n,,,undefined,,,LongVarChar with Extended undefined and Length=nVarChar with Extended undefined and Length=n
ds to oracle,,oracle,VarChar,string[max=n],VARCHAR2 (n),,n,,,undefined,,,LongVarChar with Extended undefined and Length=nVarChar with Extended undefined and Length=n
ds to oracle,45,oracle,NVarChar,,,,n,,,,,,NVarChar with Length=nLongNVarChar with Length=nLongVarChar with Extended=Unicode and Length=nVarChar with Extended=Unicode and Length=n
ds to oracle,,oracle,LongNVarChar,,,,n,,,,,,NVarChar with Length=nLongNVarChar with Length=nLongVarChar with Extended=Unicode and Length=nVarChar with Extended=Unicode and Length=n
ds to oracle,,oracle,LongVarChar,,,,n,,,unicode,,,NVarChar with Length=nLongNVarChar with Length=nLongVarChar with Extended=Unicode and Length=nVarChar with Extended=Unicode and Length=n
ds to oracle,,oracle,VarChar,,,,n,,,unicode,,,NVarChar with Length=nLongNVarChar with Length=nLongVarChar with Extended=Unicode and Length=nVarChar with Extended=Unicode and Length=n
ds to oracle,46,,,,,,,,,,,,
teradata enterprise,47,teradata,,,,,,,,,,,
teradata enterprise,48,teradata,Date,date,date,,,,,,,,
teradata enterprise,49,teradata,Decimal,"decimal (p, s)","numeric (p, s)",,,,,,,,
teradata enterprise,,teradata,Numeric,"decimal (p, s)","numeric (p, s)",,,,,,,,
teradata enterprise,50,teradata,Double,dfloat,double precision,,,,,,,,
teradata enterprise,51,teradata,Double,dfloat,float,,,,,,,,
teradata enterprise,52,teradata,Double,dfloat,real,,,,,,,,
teradata enterprise,53,teradata,TinyInt,int8,byteint,,,,,,,,
teradata enterprise,54,teradata,SmallInt,int16,smallint,,,,,,,,
teradata enterprise,55,teradata,Integer,int32,integer,,,,,,,,
teradata enterprise,56,teradata,BigInt,int64,unsupported,,,,,,,,
teradata enterprise,57,teradata,LongVarBinary,raw,varbyte (default),,,,,,,,
teradata enterprise,,teradata,VarBinary,raw,varbyte (default),,,,,,,,
teradata enterprise,58,teradata,Binary Bit,raw [fixed_size],byte (fixed_size),,,,,,,,
teradata enterprise,59,teradata,LongVarBinary,raw [max=size],varbyte (size),,,,,,,,
teradata enterprise,,teradata,VarBinary,raw [max=size],varbyte (size),,,,,,,,
teradata enterprise,60,teradata,LongVarBinary,raw [max=size],graphic (c),,,,,,,,
teradata enterprise,,teradata,VarBinary,raw [max=size],graphic (c),,,,,,,,
teradata enterprise,61,teradata,LongVarBinary,raw [max=size],vargraphic (size),,,,,,,,
teradata enterprise,,teradata,VarBinary,raw [max=size],vargraphic (size),,,,,,,,
teradata enterprise,62,teradata,LongVarBinary,raw [max=size],long vargraphic,,,,,,,,
teradata enterprise,,teradata,VarBinary,raw [max=size],long vargraphic,,,,,,,,
teradata enterprise,63,teradata,Float Real,sfloat,unsupported,,,,,,,,
teradata enterprise,64,teradata,LongVarChar,string,varchar (default length),,,,,,,,
,,,VarChar,string,varchar (default length),,,,,,,,
teradata enterprise,65,teradata,Unknown Char,string [fixed_size],char (fixed_size),,,,,,,,
teradata enterprise,66,teradata,LongVarChar,string[max = size],varchar(size),,,,,,,,
,,,VarChar,string[max = size],varchar(size),,,,,,,,
teradata enterprise,67,teradata,LongVarChar,string[max = size],long varchar (size),,,,,,,,
teradata enterprise,68,teradata,Time,time,unsupported,,,,,,,,
teradata enterprise,69,teradata,Timestamp,timestamp,unsupported,,,,,,,,
teradata enterprise,70,teradata,TinyInt,uint8,unsupported,,,,,,,,
teradata enterprise,71,teradata,SmallInt,uint16,unsupported,,,,,,,,
teradata enterprise,72,teradata,Integer,uint32,unsupported,,,,,,,,
,73,teradata,,,,,,,,,,,
terawrite,74,teradata,,,,,,,,,,,
terawrite,75,teradata,date,,date,,,,,,,,
terawrite,76,teradata,"decimal( p ,s)",,"numeric( p ,s)",,,,,,,,
terawrite,77,teradata,dfloat,,double precision,,,,,,,,
terawrite,78,teradata,int8,,byteint,,,,,,,,
terawrite,79,teradata,int16,,smallint,,,,,,,,
terawrite,80,teradata,int32,,integer,,,,,,,,
terawrite,81,teradata,int64,,unsupported,,,,,,,,
terawrite,82,teradata,raw,,varbyte( default ),,,,,,,,
terawrite,83,teradata,raw[ fixed_size ],,byte( fixed_size ),,,,,,,,
terawrite,84,teradata,raw[max= n ],,varbyte( n ),,,,,,,,
terawrite,85,teradata,sfloat,,unsupported,,,,,,,,
terawrite,86,teradata,string,,varchar( default_length ),,,,,,,,
terawrite,87,teradata,string[ fixed_size ],,char( fixed_size ),,,,,,,,
terawrite,88,teradata,string[ max ],,varchar( max ),,,,,,,,
terawrite,89,teradata,time,,not supported,,,,,,,,
terawrite,90,teradata,timestamp,,not supported,,,,,,,,
terawrite,91,teradata,uint8,,unsupported,,,,,,,,
terawrite,92,teradata,uint16,,unsupported,,,,,,,,
terawrite,93,teradata,uint32,,unsupported,,,,,,,,
sql server to ds,94,sqlserver,,,,,,,,,,,
sql server to ds,95,sqlserver,string[n],,CHAR,,,,,,,,
sql server to ds,96,sqlserver,string[max=n],,VARCHAR,,,,,,,,
sql server to ds,97,sqlserver,ustring(n),,NCHAR,,,,,,,,
sql server to ds,98,sqlserver,ustring(max=n),,NVARCHAR,,,,,,,,
sql server to ds,99,sqlserver,"decimal(p,s)",,DECIMAL,,,,,,,,
sql server to ds,100,sqlserver,"decimal(p,s)",,NUMERIC,,,,,,,,
sql server to ds,101,sqlserver,int16,,SMALLINT,,,,,,,,
sql server to ds,102,sqlserver,int32,,INTEGER,,,,,,,,
sql server to ds,103,sqlserver,sfloat,,REAL,,,,,,,,
sql server to ds,104,sqlserver,dfloat,,FLOAT,,,,,,,,
sql server to ds,105,sqlserver,uint8 (0 or 1),,BIT,,,,,,,,
sql server to ds,106,sqlserver,uint8,,TINYINT,,,,,,,,
sql server to ds,107,sqlserver,int64,,BIGINT,,,,,,,,
sql server to ds,108,sqlserver,raw(n),,BINARY,,,,,,,,
sql server to ds,109,sqlserver,raw(max=n),,VARBINARY,,,,,,,,
sql server to ds,110,sqlserver,timestamp,,DATETIME,,,,,,,,
sql server to ds,111,sqlserver,timestamp,,SMALLDATETIME,,,,,,,,
sql server to ds,112,sqlserver,raw(8),,TIMESTAMP,,,,,,,,
sql server to ds,113,sqlserver,string[36],,UNIQUEIDENTIFIER,,,,,,,,
sql server to ds,114,sqlserver,"decimal[10,4]",,SMALLMONEY,,,,,,,,
sql server to ds,115,sqlserver,"decimal[19,4]",,MONEY,,,,,,,,
,116,sqlserver,,,,,,,,,,,
ds to sql server,117,sqlserver,,,,,,,,,,,
ds to sql server,118,sqlserver,string[n],,CHAR,,,,,,,,
ds to sql server,119,sqlserver,string[max=n],,VARCHAR,,,,,,,,
ds to sql server,120,sqlserver,ustring(n),,NCHAR,,,,,,,,
ds to sql server,121,sqlserver,ustring(max=n),,NVARCHAR,,,,,,,,
ds to sql server,122,sqlserver,"decimal(p,s)",,DECIMAL,,,,,,,,
ds to sql server,123,sqlserver,"decimal(p,s)",,NUMERIC,,,,,,,,
ds to sql server,124,sqlserver,int16,,SMALLINT,,,,,,,,
ds to sql server,125,sqlserver,int32,,INTEGER,,,,,,,,
ds to sql server,126,sqlserver,sfloat,,REAL,,,,,,,,
ds to sql server,127,sqlserver,dfloat,,FLOAT,,,,,,,,
ds to sql server,128,sqlserver,uint8 (0 or 1),,BIT,,,,,,,,
ds to sql server,129,sqlserver,uint8,,TINYINT,,,,,,,,
ds to sql server,130,sqlserver,int64,,BIGINT,,,,,,,,
ds to sql server,131,sqlserver,raw(n),,BINARY,,,,,,,,
ds to sql server,132,sqlserver,raw(max=n),,VARBINARY,,,,,,,,
ds to sql server,133,sqlserver,timestamp[p],,DATETIME,,,,,,,,
ds to sql server,134,sqlserver,timestamp[p],,SMALLDATETIME,,,,,,,,
ds to sql server,135,sqlserver,string[36],,UNIQUEIDENTIFIER,,,,,,,,
ds to sql server,136,sqlserver,raw(8),,TIMESTAMP,,,,,,,,
ds to sql server,137,sqlserver,"decimal[10,4]",,SMALLMONEY,,,,,,,,
ds to sql server,138,sqlserver,"decimal[19,4]",,MONEY,,,,,,,,
,139,,,,,,,,,,,,
sybase and ds,140,,,,,,,,,,,,
sybase and ds,141,sybase,BigInt,,BIGINT,,n/a,,n/a,any,,,
sybase and ds,142,sybase,Binary,,Not supported,,n,,n/a,n/a,,,
sybase and ds,143,sybase,Bit,,Not supported,,n/a,,n/a,n/a,,,
sybase and ds,144,sybase,Char,,CHAR(n),,n,,n/a,blank,,,
sybase and ds,145,sybase,Char,,CHAR(n),,n,,n/a,Unicode,,,
sybase and ds,146,sybase,Date,,DATETIME1,,n/a,,n/a,n/a,,,
sybase and ds,147,sybase,Decimal,,"DECIMAL(p,s)",,p,,s,n/a,,,
sybase and ds,148,sybase,Double,,FLOAT(p),,p,,n/a,n/a,,,
sybase and ds,149,sybase,Float,,FLOAT(p)2,,p,,n/a,n/a,,,
sybase and ds,150,sybase,Integer,,INTEGER,,n/a,,n/a,any,,,
sybase and ds,151,sybase,LongNVarChar,,TEXT,,n,,n/a,n/a,,,
sybase and ds,152,sybase,LongVarBinary,,IMAGE,,n,,n/a,n/a,,,
sybase and ds,153,sybase,LongVarChar,,TEXT,,n,,n/a,blank,,,
sybase and ds,154,sybase,LongVarChar,,TEXT,,n,,n/a,Unicode,,,
sybase and ds,155,sybase,NChar,,UNICHAR(n),,n,,n/a,n/a,,,
sybase and ds,156,sybase,NVarChar,,UNIVARCHAR(n),,n,,n/a,n/a,,,
sybase and ds,157,sybase,Numeric,,"DECIMAL(p,s)",,p,,s,n/a,,,
sybase and ds,158,sybase,Real,,REAL,,n/a,,n/a,n/a,,,
sybase and ds,159,sybase,SmallInt,,SMALLINT,,n/a,,n/a,any,,,
sybase and ds,160,sybase,Time,,DATETIME3,,n/a,,any,any,,,
sybase and ds,161,sybase,Timestamp,,DATETIME,,n/a,,any,any,,,
sybase and ds,162,sybase,TinyInt,,SMALLINT,,n/a,,n/a,any,,,
sybase and ds,163,sybase,VarBinary,,Not supported,,n,,n/a,n/a,,,
sybase and ds,164,sybase,VarChar,,VARCHAR(n),,n,,n/a,blank,,,
sybase and ds,165,sybase,VarChar,,VARCHAR(n),,n,,n/a,Unicode,,,
db2 to ds,166,db2,,,,,,,,,,,
db2 to ds,167,db2,Char,,"CHAR, 254",,,,,,,,
db2 to ds,168,db2,Varchar,,"VARCHAR, 32762",,,,,,,,
db2 to ds,169,db2,LongVarChar,,"LONGVARCHAR, 32700",,,,,,,,
db2 to ds,170,db2,Decimal,,DECIMAL,,,,,,,,
db2 to ds,171,db2,Decimal,,NUMERIC,,,,,,,,
db2 to ds,172,db2,SmallInt,,SMALLINT,,,,,,,,
db2 to ds,173,db2,Integer,,INTEGER,,,,,,,,
db2 to ds,174,db2,BigInt,,BIGINT,,,,,,,,
db2 to ds,175,db2,Real,,REAL,,,,,,,,
db2 to ds,176,db2,Float,,FLOAT (same as DOUBLE),,,,,,,,
db2 to ds,177,db2,Double,,DOUBLE PRECISION,,,,,,,,
db2 to ds,178,db2,Date,,DATE,,,,,,,,
db2 to ds,179,db2,Time,,TIME,,,,,,,,
db2 to ds,180,db2,TimeStamp,,TIMESTAMP,,,,,,,,
db2 to ds,181,db2,Binary,,CHAR FOR BIT DATA,,,,,,,,
db2 to ds,182,db2,VarBinary,,VARCHAR FOR BIT DATA,,,,,,,,
db2 to ds,183,db2,LongVarBinary,,LONGVARCHAR FOR BIT DATA,,,,,,,,
db2 to ds,184,db2,NChar,,"GRAPHIC, 127 double-byte character sets",,,,,,,,
db2 to ds,185,db2,NVarChar,,"VARGRAPHIC, 16336 double-byte character sets",,,,,,,,
db2 to ds,186,db2,LongNVarChar,,"LONGVARGRAPHIC, 16350 double-byte character sets",,,,,,,,
db2 to ds,187,db2,Decimal,,DECFLOAT,,,,,,,,
db2 to ds,188,db2,NVarChar,,XML,,,,,,,,
db2 to ds,189,db2,LongVarChar,,CLOB,,,,,,,,
db2 to ds,190,db2,LongVarBinary,,BLOB,,,,,,,,
db2 to ds,191,db2,LongNVarchar,,DBCLOB,,,,,,,,
,192,db2,,,,,,,,,,,
ds to db2,193,db2,,,,,,,,,,,
ds to db2,194,db2,SQL_BIGINT,,BIGINT,,,,,,,,
ds to db2,195,db2,SQL_BINARY,,CHAR FOR BIT DATA,,,,,,,,
ds to db2,196,db2,SQL_BIT,,Unsupported,,,,,,,,
ds to db2,197,db2,SQL_CHAR,,CHAR,,,,,,,,
ds to db2,198,db2,SQL_DATE,,DATE,,,,,,,,
ds to db2,199,db2,SQL_DECIMAL,,DECIMAL,,,,,,,,
ds to db2,200,db2,SQL_DOUBLE,,DOUBLE PRECISION,,,,,,,,
ds to db2,201,db2,SQL_FLOAT,,FLOAT,,,,,,,,
ds to db2,202,db2,SQL_INTEGER,,INTEGER,,,,,,,,
ds to db2,203,db2,SQL_LONGVARBINARY,,LONG VARCHAR FOR BIT DATA,,,,,,,,
ds to db2,204,db2,SQL_LONGVARCHAR,,LONGVARCHAR,,,,,,,,
ds to db2,205,db2,SQL_NUMERIC,,DECIMAL,,,,,,,,
ds to db2,206,db2,SQL_REAL,,REAL,,,,,,,,
ds to db2,207,db2,SQL_SMALLINT,,SMALLINT,,,,,,,,
ds to db2,208,db2,SQL_TIME,,TIME,,,,,,,,
ds to db2,209,db2,SQL_TIMESTAMP,,TIMESTAMP,,,,,,,,
ds to db2,210,db2,SQL_TINYINT,,SMALLINT,,,,,,,,
ds to db2,211,db2,SQL_VARBINARY,,VARCHAR FOR BIT DATA,,,,,,,,
ds to db2,212,db2,SQL_VARCHAR,,VARCHAR,,,,,,,,
ds to db2,213,db2,SQL_DECIMAL,,DECFLOAT,,,,,,,,
,214,,,,,,,,,,,,
ds to java,215,jdbc/java,,,,,,,,,,,
ds to java,216,jdbc/java,BigInt,,long,,,,,,,,
ds to java,217,jdbc/java,BigInt (Unsigned),,java.lang.String,,,,,,,,
ds to java,218,jdbc/java,Binary,,byte[],,,,,,,,
ds to java,219,jdbc/java,Bit,,boolean,,,,,,,,
ds to java,220,jdbc/java,Char,,java.lang.String,,,,,,,,
ds to java,221,jdbc/java,Char (Unicode),,java.lang.String,,,,,,,,
ds to java,222,jdbc/java,Date,,java.sql.Date,,,,,,,,
ds to java,223,jdbc/java,Decimal,,java.math.BigDecimal,,,,,,,,
ds to java,224,jdbc/java,Double,,double,,,,,,,,
ds to java,225,jdbc/java,Float,,float,,,,,,,,
ds to java,226,jdbc/java,Integer,,int,,,,,,,,
ds to java,227,jdbc/java,Integer (Unsigned),,long,,,,,,,,
ds to java,228,jdbc/java,LongNVarChar,,"java.sql.NClob, java.sql.Clob, java.lang.String",,,,,,,,
ds to java,229,jdbc/java,LongVarBinary,,"java.sql.Blob, byte[]",,,,,,,,
ds to java,230,jdbc/java,LongVarChar,,"java.sql.NClob, java.sql.Clob, java.lang.String",,,,,,,,
ds to java,231,jdbc/java,LongVarChar (Unicode),,"java.sql.NClob, java.sql.Clob, java.lang.String",,,,,,,,
ds to java,232,jdbc/java,NChar,,java.lang.String,,,,,,,,
ds to java,233,jdbc/java,Numeric,,java.math.BigDecimal,,,,,,,,
ds to java,234,jdbc/java,NVarChar,,java.lang.String,,,,,,,,
ds to java,235,jdbc/java,Real,,float,,,,,,,,
ds to java,236,jdbc/java,SmallInt,,short,,,,,,,,
ds to java,237,jdbc/java,SmallInt (Unsigned),,int,,,,,,,,
ds to java,238,jdbc/java,Time,,java.sql.Time,,,,,,,,
ds to java,239,jdbc/java,Time (Microseconds),,java.sql.Time,,,,,,,,
ds to java,240,jdbc/java,Timestamp,,java.sql.Timestamp,,,,,,,,
ds to java,241,jdbc/java,Timestamp (Microseconds),,java.sql.Timestamp,,,,,,,,
ds to java,242,jdbc/java,TinyInt,,byte,,,,,,,,
ds to java,243,jdbc/java,TinyInt (Unsigned),,short,,,,,,,,
ds to java,244,jdbc/java,VarBinary,,byte[],,,,,,,,
ds to java,245,jdbc/java,VarChar,,java.lang.String,,,,,,,,
ds to java,246,jdbc/java,VarChar (Unicode),,java.lang.String,,,,,,,,
ds to java,247,jdbc/java,Unknown,,java.lang.String,,,,,,,,
jdbc to ds,248,jdbc/java,,,,,,,,,,,
jdbc to ds,249,jdbc/java,VarChar,,ARRAY,,,,,,,,
jdbc to ds,250,jdbc/java,BigInt,,BIGINT,,,,,,,,
jdbc to ds,251,jdbc/java,Binary,,BINARY,,,,,,,,
jdbc to ds,252,jdbc/java,Bit,,BIT,,,,,,,,
jdbc to ds,253,jdbc/java,LongVarBinary,,BLOB,,,,,,,,
jdbc to ds,254,jdbc/java,Bit,,BOOLEAN,,,,,,,,
jdbc to ds,255,jdbc/java,Char,,CHAR,,,,,,,,
jdbc to ds,256,jdbc/java,LongVarChar,,CLOB,,,,,,,,
jdbc to ds,257,jdbc/java,VarChar,,DATALINK,,,,,,,,
jdbc to ds,258,jdbc/java,Date,,DATE,,,,,,,,
jdbc to ds,259,jdbc/java,Decimal,,DECIMAL,,,,,,,,
jdbc to ds,260,jdbc/java,VarChar,,DISTINCT,,,,,,,,
jdbc to ds,261,jdbc/java,Double,,DOUBLE,,,,,,,,
jdbc to ds,262,jdbc/java,Double,,FLOAT,,,,,,,,
jdbc to ds,263,jdbc/java,Integer,,INTEGER,,,,,,,,
jdbc to ds,264,jdbc/java,VarChar,,JAVA_OBJECT,,,,,,,,
jdbc to ds,265,jdbc/java,LongNVarChar,,LONGNVARCHAR,,,,,,,,
jdbc to ds,266,jdbc/java,LongVarBinary,,LONGVARBINARY,,,,,,,,
jdbc to ds,267,jdbc/java,LongVarChar,,LONGVARCHAR,,,,,,,,
jdbc to ds,268,jdbc/java,NChar,,NCHAR,,,,,,,,
jdbc to ds,269,jdbc/java,LongNVarChar,,NCLOB,,,,,,,,
jdbc to ds,270,jdbc/java,VarChar,,NULL,,,,,,,,
jdbc to ds,271,jdbc/java,Numeric,,NUMERIC,,,,,,,,
jdbc to ds,272,jdbc/java,NVarChar,,NVARCHAR,,,,,,,,
jdbc to ds,273,jdbc/java,VarChar,,OTHER,,,,,,,,
jdbc to ds,274,jdbc/java,Real,,REAL,,,,,,,,
jdbc to ds,275,jdbc/java,VarChar,,REF,,,,,,,,
jdbc to ds,276,jdbc/java,VarChar,,ROWID,,,,,,,,
jdbc to ds,277,jdbc/java,SmallInt,,SMALLINT,,,,,,,,
jdbc to ds,278,jdbc/java,VarChar,,SQLXML,,,,,,,,
jdbc to ds,279,jdbc/java,VarChar,,STRUCT,,,,,,,,
jdbc to ds,280,jdbc/java,Time,,TIME,,,,,,,,
jdbc to ds,281,jdbc/java,Timestamp (Microseconds),,TIMESTAMP,,,,,,,,
jdbc to ds,282,jdbc/java,TinyInt,,TINYINT,,,,,,,,
jdbc to ds,283,jdbc/java,VarBinary,,VARBINARY,,,,,,,,
jdbc to ds,284,jdbc/java,VarChar,,VARCHAR,,,,,,,,
jdbc to ds,285,jdbc/java,VarChar,,any other data type,,,,,,,,
odbc to ds,286,odbc,,,,,,,,,,,
odbc to ds,287,odbc,string[n],,SQL_CHAR,,,,,,,,
odbc to ds,288,odbc,string[max=n],,SQL_VARCHAR,,,,,,,,
odbc to ds,289,odbc,ustring(n),,SQL_WCHAR,,,,,,,,
odbc to ds,290,odbc,ustring(max=n),,SQL_WVARCHAR,,,,,,,,
odbc to ds,291,odbc,"decimal(p,s)",,SQL_DECIMAL,,,,,,,,
odbc to ds,292,odbc,"decimal(p,s)",,SQL_NUMERIC,,,,,,,,
odbc to ds,293,odbc,in16,,SQL_SMALLINT,,,,,,,,
odbc to ds,294,odbc,int32,,SQL_INTEGER,,,,,,,,
odbc to ds,295,odbc,sfloat,,SQL_REAL,,,,,,,,
odbc to ds,296,odbc,dfloat,,SQL_FLOAT,,,,,,,,
odbc to ds,297,odbc,dfloat,,SQL_DOUBLE,,,,,,,,
odbc to ds,298,odbc,int8 (0 or 1),,SQL_BIT,,,,,,,,
odbc to ds,299,odbc,int8,,SQL_TINYINT,,,,,,,,
odbc to ds,300,odbc,int64,,SQL_BIGINT,,,,,,,,
odbc to ds,301,odbc,raw(n),,SQL_BINARY,,,,,,,,
odbc to ds,302,odbc,raw(max=n),,SQL_VARBINARY,,,,,,,,
odbc to ds,303,odbc,date,,SQL_TYPE_DATEP[6]P,,,,,,,,
odbc to ds,304,odbc,time[p],,SQL_TYPE_TIMEP[6]P,,,,,,,,
